nl_cmd,bash_cmd
whats the weather like today,bash: weather
can you tell me the weather right now,bash: weather
whats the weather forecast,bash: weather
hows the weather outside,bash: weather
whats the weather report for today,bash: weather
whats the weather like at the moment,bash: weather
can you check the weather for me,bash: weather
whats the weather prediction,bash: weather
hows the weather,bash: weather
tell me the weather for today,bash: weather
what time is it,bash: time
can you tell me the time,bash: time
do you know what time it is,bash: time
hey whats the time right now,bash: time
whats the current time,bash: time
tell me the time please,bash: time
can you give me the time,bash: time
whats the time at the moment,bash: time
how late is it,bash: time
can you check the time for me,bash: time
whats todays date,bash: date
can you tell me the date,bash: date
whats the date today,bash: date
what date is it today,bash: date
do you know todays date,bash: date
tell me the date please,bash: date
whats the current date,bash: date
can you check the date for me,bash: date
whats the date on the calendar,bash: date
i need to know the date,bash: date
what day is it today,bash: day
can you tell me the day of the week,bash: day
do you know what day it is,bash: day
whats todays day,bash: day
could you check the day for me,bash: day
tell me the day of the week,bash: day
what day are we on,bash: day
can you remind me what day it is,bash: day
do you know todays day,bash: day
whats the day today,bash: day
whats the latest news,bash: news
can you tell me todays news,bash: news
whats happening in the news today,bash: news
give me the news update,bash: news
whats going on in the world right now,bash: news
tell me the top stories today,bash: news
whats the news right now,bash: news
can you check the news for me,bash: news
whats the latest headline,bash: news
any breaking news today,bash: news
increase the volume,bash: volume-up
raise the volume please,bash: volume-up
can you make it louder,bash: volume-up
turn the sound up,bash: volume-up
boost the volume,bash: volume-up
volume up,bash: volume-up
crank up the sound,bash: volume-up
can you enhance the volume,bash: volume-up
make it louder,bash: volume-up
turn the audio up,bash: volume-up
please increase the volume higher,bash: volume-up
set maximum volume please,bash: volume-up
make the volume higher,bash: volume-up
set full volume,bash: volume-up
can you lower the volume,bash: volume-down
please turn down the sound,bash: volume-down
reduce the audio level please,bash: volume-down
make the volume quieter,bash: volume-down
turn the volume down,bash: volume-down
please decrease the sound,bash: volume-down
can you mute the audio slightly,bash: volume-down
lower the sound level,bash: volume-down
please adjust the volume down,bash: volume-down
can you make it less loud,bash: volume-down
can you increase the volume to 5 percentage,bash: set-volume 5
turn the volume up to 20%,bash: set-volume 20
please raise the volume to 25 %,bash: set-volume 25
increase the volume to 40 percent,bash: set-volume 40
turn the sound up to 55,bash: set-volume 55
can you boost the volume to 50 percentage,bash: set-volume 50
turn the audio level up to 65% ,bash: set-volume 65
can you put the volume to 70 %,bash: set-volume 70
raise the sound level to 95 percent,bash: set-volume 95 
please increase the sound to 100,bash: set-volume 100
reduce the volume by 10 percentage,bash: set-volume 10 
can you lower the volume by 15%,bash: set-volume 15
turn the volume down by 30 %,bash: set-volume 30
adjust the audio down by 25 percent,bash: set-volume 25 
please decrease the volume by 45 percentage,bash: set-volume 45
make the sound 60 quieter,bash: set-volume 60
lower the volume to 75% less,bash: set-volume 75
can you set the volume to 80 % lower,bash: set-volume 80
turn the sound down 85 percent,bash: set-volume 85
can you reduce the audio level by 90,bash: set-volume 90
set the volume to 0%,bash: set-volume 0
adjust volume to 32%,bash: set-volume 32
set sound level to 77%,bash: set-volume 77
change audio level to 83%,bash: set-volume 83
put the volume at 62%,bash: set-volume 62
make the volume 28%,bash: set-volume 28
set the audio to 19%,bash: set-volume 19
can you set volume at 91%,bash: set-volume 91
can you mute the audio,bash: volume-mute
please mute the sound,bash: volume-mute
turn off the sound,bash: volume-mute
mute the volume please,bash: volume-mute
silence the audio,bash: volume-mute
can you silence the sound,bash: volume-mute
please turn off the audio,bash: volume-mute
make it silent,bash: volume-mute
disable the sound,bash: volume-mute
can you cut the audio,bash: volume-mute
can you unmute the sound,bash: volume-unmute
please turn the audio back on,bash: volume-unmute
restore the sound,bash: volume-unmute
make the audio audible again,bash: volume-unmute
can you bring the sound back,bash: volume-unmute
turn the volume back up,bash: volume-unmute
please unmute the speakers,bash: volume-unmute
can you enable the audio,bash: volume-unmute
bring back the sound please,bash: volume-unmute
make the sound active again,bash: volume-unmute
can you turn up the brightness,bash: brightness-up
please raise the brightness,bash: brightness-up
