nl_cmd,bash_cmd
i want to create a new group named <group-name>,sudo groupadd <group-name>
create a group named <group-name>,sudo groupadd <group-name>
can you create a group with the name of <group-name>,sudo groupadd <group-name>
form a new group with the name <group-name>,sudo groupadd <group-name>
create a group <group-name>,sudo groupadd <group-name>
make a new group named <group-name>,sudo groupadd <group-name>
can you able to create a new group in this system with the name <group-name>,sudo groupadd <group-name>
add a new group named <group-name>,sudo groupadd <group-name>
please add a new group called <group-name>,sudo groupadd <group-name>
set up a new group with the name of <group-name>,sudo groupadd <group-name>
make a new group named <group-name> with the group id <group-id>,groupadd -g <group-id> <group-name>
create a group named <group-name> with group id <group-id>,sudo groupadd -g <group-id> <group-name>
add a new group named <group-name> with custom group id <group-id>,sudo groupadd -g <group-id> <group-name>
please add a new group called <group-name> with custom group id <group-id>,sudo groupadd -g <group-id> <group-name>
i want to delete a new group called <group-name>,sudo groupdel <group-name>
remove group with the name <group-name> from my laptop,sudo groupdel <group-name>
can you delete the group with the name <group-name>,sudo groupdel <group-name>
please erase the group named <group-name>,sudo groupdel <group-name>
destroy the group of name <group-name>,sudo groupdel <group-name>
delete the group named <group-name> from the system,sudo groupdel <group-name>
could you remove the group called <group-name>,sudo groupdel <group-name>
i want to delete this group <group-name>,sudo groupdel <group-name>
take away the group named <group-name>,sudo groupdel <group-name>
i want to remove a group named <group-name> from this pc,sudo groupdel <group-name>
i want to change of the group name from <old-group-name> to <new-group-name>,sudo groupmod -n <new-group-name> <old-group-name>
rename the group name <old-group-name> to <new-group-name>,sudo groupmod -n <new-group-name> <old-group-name>
can you modify the group name from <old-group-name> to <new-group-name>,sudo groupmod -n <new-group-name> <old-group-name>
update the <old-group-name> group name to <new-group-name>,sudo groupmod -n <new-group-name> <old-group-name>
change the existing group name <old-group-name> to <new-group-name>,sudo groupmod -n <new-group-name> <old-group-name> 
rename a new group name <old-group-name> to <new-group-name>,sudo groupmod -n <new-group-name> <old-group-name>
could you update the old group name from <old-group-name> to <new-group-name>,sudo groupmod -n <new-group-name> <old-group-name>
set a new group name to <new-group-name> from <old-group-name>,sudo groupmod -n <new-group-name> <old-group-name>
rename the group name of <old-group-name> to <new-group-name>,sudo groupmod -n <new-group-name> <old-group-name>
please the change group name from <old-group-name> to <new-group-name>,sudo groupmod -n <new-group-name> <old-group-name>
rename the  name <old-group-name> set it to <new-group-name>,sudo groupmod -n <new-group-name> <old-group-name>
i want to change of the group id to <group-id> to <group-name>,sudo groupmod -g <group-name> <group-id>
change the group id <group-id> to <group-name>,sudo groupmod -g <group-name> <group-id>
can you modify the gid of <group-name> to <group-id> ,sudo groupmod -g <group-name> <group-id>
update the <group-id>to the group named <group-name>,sudo groupmod -g <group-name> <group-id>
change the existing group id <group-id> to <group-name>,sudo groupmod -g <group-name> <group-id> 
set a new group id <group-id> to <group-name>,sudo groupmod -g <group-name> <group-id>
could you update the old group id of <group-name> to <group-id>,sudo groupmod -g <group-name> <group-id>
set a custom gid <group-id> to <group-name>,sudo groupmod -g <group-name> <group-id>
please the change gid <group-id> to <group-name>,sudo groupmod -g <group-name> <group-id>
i want see number of groups in my system,cat /etc/group
can you provide the list of group in my system,cat /etc/group
list all the available group in my laptop,cat /etc/group
display the number of group exist in this pc,cat /etc/group
show the group list available in this system,cat /etc/group
give me the groups on the system,cat /etc/group
what are all the groups avaiable in my system,cat /etc/group
could you please display the group in this system,cat /etc/group
i want to check how many groups in this pc,cat /etc/group
display all the system groups,cat /etc/group
show all groups in this pc,cat /etc/group
list all groups in my laptop,cat /etc/group
show information about the group named <group-name>, etent group <group-name>
display details of group <group-name>,getent group <group-name>
get the group information for <group-name>,getent group <group-name>
i want to see group info for <group-name>,getent group <group-name>
get me details for group <group-name>,getent group <group-name>
can you show the details of <group-name> group,getent group <group-name>
please display the information for group <group-name>,getent group <group-name>
could you please give me the group information for <group-name>,getent group <group-name>
show me group <group-name> details,getent group <group-name>
view group <group-name> information,getent group <group-name>
show members of group <group-name>,getent group <group-name>
list all members of group <group-name>,getent group <group-name>
display the users in group <group-name>,getent group <group-name>
get the members of group <group-name>,getent group <group-name>
show the users belonging to group <group-name>,getent group <group-name>
list all users in the group <group-name>,getent group <group-name>
show the list of members in group <group-name>,getent group <group-name>
give me the list of members for group <group-name>,getent group <group-name>
list users of group <group-name>,getent group <group-name>
display the list of group members for <group-name>,getent group <group-name>
show the groups for the current user,groups $USER
how can i see the list of groups i am in,groups $USER
what are all the groups i am in,groups $USER
list all groups i joined,groups $USER
how can i check the groups i wan in,groups $USER
display the number of groups i am in,groups $USER
list the group i joined,groups $USER
provide the information about the groups of me,groups $USER 
list the groups of me,groups $USER
show the groups where i am member of,groups $USER
display the groups with me,groups $USER
