nl_cmd,bash_cmd

#for-training

#gkqns

whats the weather like today,weather
can you tell me the weather right now,weather
whats the weather forecast,weather
hows the weather outside,weather
whats the weather report for today,weather
whats the weather like at the moment,weather
can you check the weather for me,weather
whats the weather prediction,weather
hows the weather,weather
tell me the weather for today,weather
what time is it,time
can you tell me the time,time
do you know what time it is,time
hey whats the time right now,time
whats the current time,time
tell me the time please,time
can you give me the time,time
whats the time at the moment,time
how late is it,time
can you check the time for me,time
whats the time in <specific-location>,time-in <specific-location>
can you tell me the current time in <specific-location>,time-in <specific-location>
what time is it in <specific-location> right now,time-in <specific-location>
please give me the time in <specific-location>,time-in <specific-location>
whats the local time in <specific-location>,time-in <specific-location>
can you check the time for me in <specific-location>,time-in <specific-location>
what time zone is <specific-location> in,time-in <specific-location>
how late is it in <specific-location>,time-in <specific-location>
tell me the time in <specific-location>,time-in <specific-location>
whats the current hour in <specific-location>,time-in <specific-location>
whats todays date,date
can you tell me the date,date
whats the date today,date
what date is it today,date
do you know todays date,date
tell me the date please,date
whats the current date,date
can you check the date for me,date
whats the date on the calendar,date
i need to know the date,date
whats the latest news,news
can you tell me todays news,news
whats happening in the news today,news
give me the news update,news
whats going on in the world right now,news
tell me the top stories today,news
whats the news right now,news
can you check the news for me,news
whats the latest headline,news
any breaking news today,news
increase the volume,volume-up
raise the volume please,volume-up
can you make it louder,volume-up
turn the sound up,volume-up
boost the volume,volume-up
volume up,volume-up
crank up the sound,volume-up
can you enhance the volume,volume-up
make it louder,volume-up
turn the audio up,volume-up
can you lower the volume,volume-down
please turn down the sound,volume-down
reduce the audio level please,volume-down
make the volume quieter,volume-down
turn the volume down,volume-down
please decrease the sound,volume-down
can you mute the audio slightly,volume-down
lower the sound level,volume-down
please adjust the volume down,volume-down
can you make it less loud,volume-down
can you increase the volume to <volume-increase-percentage>,set-volume <volume-increase-percentage>
turn the volume up to <volume-increase-percentage>,set-volume <volume-increase-percentage>
please raise the volume to <volume-increase-percentage>,set-volume <volume-increase-percentage>
increase the volume to <volume-increase-percentage>,set-volume <volume-increase-percentage>
turn the sound up to <volume-increase-percentage>,set-volume <volume-increase-percentage>
can you boost the volume to <volume-increase-percentage>,set-volume <volume-increase-percentage>
turn the audio level up to <volume-increase-percentage>,set-volume <volume-increase-percentage>
can you put the volume to <volume-increase-percentage>,set-volume <volume-increase-percentage>
raise the sound level to <volume-increase-percentage>,set-volume <volume-increase-percentage>
please increase the sound to <volume-increase-percentage>,set-volume <volume-increase-percentage>
reduce the volume by <volume-decrease-percentage>,set-volume <volume-decrease-percentage>
can you lower the volume by <volume-decrease-percentage>,set-volume <volume-decrease-percentage>
turn the volume down by <volume-decrease-percentage>,set-volume <volume-decrease-percentage>
adjust the audio down by <volume-decrease-percentage>,set-volume <volume-decrease-percentage>
please decrease the volume by <volume-decrease-percentage>,set-volume <volume-decrease-percentage>
make the sound <volume-decrease-percentage> quieter,set-volume <volume-decrease-percentage>
lower the volume to <volume-decrease-percentage> less,set-volume <volume-decrease-percentage>
can you set the volume to <volume-decrease-percentage> lower,set-volume <volume-decrease-percentage>
turn the sound down <volume-decrease-percentage>,set-volume <volume-decrease-percentage>
can you reduce the audio level by <volume-decrease-percentage>,set-volume <volume-decrease-percentage>
can you mute the audio,volume-mute
please mute the sound,volume-mute
turn off the sound,volume-mute
mute the volume please,volume-mute
silence the audio,volume-mute
can you silence the sound,volume-mute
please turn off the audio,volume-mute
make it silent,volume-mute
disable the sound,volume-mute
can you cut the audio,volume-mute
can you unmute the sound,volume-unmute
please turn the audio back on,volume-unmute
restore the sound,volume-unmute
make the audio audible again,volume-unmute
can you bring the sound back,volume-unmute
turn the volume back up,volume-unmute
please unmute the speakers,volume-unmute
can you enable the audio,volume-unmute
bring back the sound please,volume-unmute
make the sound active again,volume-unmute
can you turn up the brightness,brightness-up
please raise the brightness,brightness-up
adjust the brightness higher,brightness-up
make the screen brighter,brightness-up
increase the screen brightness,brightness-up
can you brighten the display,brightness-up
please enhance the brightness,brightness-up
set the brightness to a higher level,brightness-up
boost the brightness please,brightness-up
can you elevate the brightness,brightness-up
can you dim the brightness,brightness-down
lower the brightness please,brightness-down
turn down the screen brightness,brightness-down
make the display a bit darker,brightness-down
reduce the brightness please,brightness-down
can you make the screen less bright,brightness-down
dim the screen please,brightness-down
adjust the brightness down,brightness-down
please darken the display,brightness-down
can you lower the light intensity,brightness-down
can you brighten the screen by <brightness-up-percentage>,brightness-up <brightness-up-percentage>
increase the brightness to <brightness-up-percentage>,brightness-up <brightness-up-percentage>
turn up the brightness by <brightness-up-percentage>,brightness-up <brightness-up-percentage>
make the display <brightness-up-percentage> brighter,brightness-up <brightness-up-percentage>
boost the brightness by <brightness-up-percentage> please,brightness-up <brightness-up-percentage>
can you raise the brightness level by <brightness-up-percentage>,brightness-up <brightness-up-percentage>
set the brightness to <brightness-up-percentage>,brightness-up <brightness-up-percentage>
make the screen lighter by <brightness-up-percentage>,brightness-up <brightness-up-percentage>
please enhance the brightness by <brightness-up-percentage>,brightness-up <brightness-up-percentage>
can you brighten it up by <brightness-up-percentage>,brightness-up <brightness-up-percentage>
reduce the brightness by <brightness-down-percentage>,brightness-down <brightness-down-percentage>
lower the brightness to <brightness-down-percentage>,brightness-down <brightness-down-percentage>
can you dim the screen by <brightness-down-percentage>,brightness-down <brightness-down-percentage>
turn down the brightness by <brightness-down-percentage>,brightness-down <brightness-down-percentage>
make the display <brightness-down-percentage> darker,brightness-down <brightness-down-percentage>
set the brightness to <brightness-down-percentage>,brightness-down <brightness-down-percentage>
decrease the screen brightness by <brightness-down-percentage>,brightness-down <brightness-down-percentage>
can you reduce the light intensity by <brightness-down-percentage>,brightness-down <brightness-down-percentage>
lower the display brightness by <brightness-down-percentage>,brightness-down <brightness-down-percentage>
turn the brightness down by <brightness-down-percentage>,brightness-down <brightness-down-percentage>
whats the battery level,battery
can you tell me my battery percentage,battery
whats the current battery status,battery
how much battery is left,battery
whats the charge level right now,battery
can you check my battery percentage,battery
how much battery do i have,battery
whats my battery status,battery
whats the current battery percentage,battery
how much power does the battery have,battery
hey can you take a screenshot of this,screenshot
could you snap a quick screenshot of this,screenshot
can you grab a screenshot right here,screenshot
i need a screenshot of this can you do that,screenshot
go ahead and capture this screen for me,screenshot
can you save a screenshot of this right now,screenshot
i need a quick screen capture of this can you help,screenshot
can you take a picture of this screen for me,screenshot
lets take a screenshot of whats here,screenshot
can you get a screenshot of this display,screenshot
can you show me my ip address,ip-address
what is my ip address,ip-address
please tell me my ip address,ip-address
i need to know my ip address,ip-address
can you find my ip address,ip-address
show me my current ip address,ip-address
whats my ip address right now,ip-address
can you display my ip address,ip-address
let me know my ip address,ip-address
can you tell me what my ip address is,ip-address
can you tell me my current cpu usage,cpu-usage
what is my cpu usage right now,cpu-usage
please show me my cpu usage,cpu-usage
i need to know my cpu usage,cpu-usage
can you find my current cpu usage,cpu-usage
show me how much cpu im using,cpu-usage
whats the cpu usage on my device,cpu-usage
can you display my cpu usage,cpu-usage
let me know my current cpu usage,cpu-usage
can you tell me the cpu usage percentage,cpu-usage
can you tell me how much storage i have left,storage-free
what is my available storage,storage-free
please show me my remaining storage,storage-free
i need to know how much storage is left,storage-free
can you find out my available storage,storage-free
show me my free storage space,storage-free
whats my storage capacity right now,storage-free
can you display my remaining storage,storage-free
let me know how much storage i have left,storage-free
can you tell me the storage i have available,storage-free
hey can you turn the brightness to maximum,brightness-maximum
set the brightness to full for me,brightness-maximum
can you increase the brightness to 100 percent,brightness-maximum
max out the brightness please,brightness-maximum
lets set the brightness to the highest level,brightness-maximum
can you adjust the brightness to the maximum,brightness-maximum
turn the brightness all the way up,brightness-maximum
could you raise the brightness to its peak,brightness-maximum
set the brightness to the highest setting,brightness-maximum
boost the brightness to the top level,brightness-maximum
